elite_account,elite_id_str,elite_weight,falsity_score
BarackObama,813286,28.0,0.3425249169435217
HillaryClinton,1339835893,74.16666666666667,0.3413333333333334
MittRomney,50055701,8.75,0.4601941747572814
ScottWalker,33750798,135.375,0.46138613861386146
SenJohnMcCain,19394188,1.0,0.42500000000000004
GovernorPerry,18906561,14.375,0.48139534883720925
BernieSanders,216776631,118.83333333333331,0.3526627218934911
ScottforFlorida,306389855,43.958333333333336,0.46341463414634143
JoeBiden,939091,135.375,0.4262499999999999
tedcruz,23022687,135.04166666666666,0.5619718309859154
GovChristie,90484508,24.666666666666668,0.4137254901960784
SpeakerRyan,18916432,0.7083333333333334,0.4376470588235294
newtgingrich,20713061,134.20833333333334,0.5390243902439025
JebBush,113047940,73.20833333333333,0.35499999999999987
CharlieCrist,38970940,103.75,0.375
SpeakerBoehner,7713202,3.458333333333333,0.47246376811594204
JohnKasich,18020081,16.083333333333332,0.35
RonJohnsonWI,142332083,16.041666666666668,0.4156249999999999
GregAbbott_TX,90651198,93.625,0.446875
SarahPalinUSA,65493023,3.1666666666666665,0.503125
RickSantorum,58379000,10.333333333333334,0.5387096774193548
MicheleBachmann,18217624,1.0,0.6819672131147541
RandPaul,216881337,96.33333333333331,0.3966666666666666
Mike_Pence,22203756,117.58333333333331,0.506896551724138
NRCC,5496932,135.375,0.6
timkaine,172858784,49.583333333333336,0.3107142857142857
SenatorBaldwin,1074518754,135.375,0.3803921568627452
SpeakerPelosi,15764644,111.08333333333331,0.4901960784313726
RudyGiuliani,770781940341288960,131.20833333333334,0.4980392156862745
GovernorDeal,217416964,1.0,0.326530612244898
senrobportman,18915145,135.41666666666666,0.2791666666666667
DWStweets,115979444,44.083333333333336,0.4291666666666666
BillClinton,1330457336,12.416666666666666,0.34545454545454546
RonPaul,287413569,115.66666666666669,0.4390243902439024
GovMikeHuckabee,15416505,87.5,0.47317073170731705
DavidHDewhurst,333533135,0.0416666666666666,0.53
dccc,14676022,135.375,0.6697674418604651
dccc,14676022,135.375,0.6697674418604651
NRSC,5693842,135.41666666666666,0.6256410256410256
SenSherrodBrown,43910797,80.66666666666667,0.28421052631578947
TheDemocrats,14377605,135.41666666666666,0.3526315789473684
FloridaGOP,15444711,131.66666666666666,0.5578947368421052
GOP,11134252,135.41666666666666,0.4666666666666667
DanPatrick,17582355,51.79166666666666,0.4888888888888888
NYGovCuomo,232268199,133.33333333333334,0.2799999999999999
BobMcDonnell,14738157,1.0,0.41714285714285715
SenWarren,970207298,135.375,0.29999999999999993
AlanGrayson,41017380,64.875,0.3647058823529411
JohnCornyn,13218102,135.33333333333334,0.37058823529411766
EricCantor,18891923,0.375,0.4882352941176471
TerryMcAuliffe,19471123,134.45833333333334,0.5235294117647059
GeorgeWill,2255182597,8.375,0.3939393939393939
FlaDems,76027332,132.75,0.4424242424242424
LeaderMcConnell,1249982359,32.0,0.4424242424242425
CoryBooker,15808765,84.70833333333333,0.30625
repmarkpocan,1206227149,135.375,0.31612903225806455
glennbeck,17454769,134.625,0.5741935483870968
SenBillNelson,20597460,9.375,0.32000000000000006
RepGwenMoore,22669526,89.08333333333333,0.4
Reince,20733972,17.875,0.5866666666666667
SecretaryCarson,828613457020870657,33.833333333333336,0.6733333333333333
davidcicilline,23593446,85.91666666666667,0.38620689655172413
KamalaHarris,30354991,134.95833333333334,0.42068965517241375
JoshMandelOhio,35664186,123.29166666666669,0.5172413793103448
Dennis_Kucinich,15022633,5.583333333333333,0.25
maddow,16129920,135.33333333333334,0.4357142857142857
WisDems,27078238,135.20833333333334,0.6499999999999999
wendydavis,355906128,57.04166666666666,0.3851851851851852
MayorOfMKE,1022863572,52.083333333333336,0.4740740740740741
TommyThompsonWI,373545909,14.041666666666666,0.5481481481481482
AllenWest,237403203,126.70833333333331,0.6296296296296297
BetoORourke,342863309,116.91666666666669,0.3307692307692308
billwhitetx,18170523,1.0,0.38461538461538447
georgeallenva,136389258,19.45833333333333,0.4076923076923077
club4growth,14410652,96.66666666666669,0.4307692307692308
THEHermanCain,28587919,100.91666666666669,0.6461538461538462
SenWhitehouse,242555999,135.41666666666666,0.23199999999999987
seanhannity,41634520,134.41666666666666,0.496
Tony4WI,816819836105949184,49.5,0.5519999999999999
MikeBloomberg,16581604,57.04166666666666,0.275
SenatorReid,16789970,2.875,0.5
jeffsessions,986781648,31.25,0.5217391304347826
BruceRaunerHQ,1431100910,1.0,0.5739130434782609
Sen_JoeManchin,234374703,79.75,0.25454545454545463
MarkWarner,7429102,104.375,0.3090909090909091
russfeingold,16742806,39.125,0.4181818181818181
CarlyFiorina,65691824,12.333333333333334,0.509090909090909
KenCuccinelli,26007752,134.875,0.5454545454545454
SeanDuffyWI,234022257,4.333333333333333,0.5727272727272728
NRA,21829541,134.70833333333334,0.5818181818181818
GavinNewsom,11347122,128.25,0.32380952380952377
sendavidperdue,2863210809,15.291666666666666,0.4380952380952381
SenSchumer,17494010,135.41666666666666,0.4380952380952381
BillOReilly,23970102,100.0,0.49523809523809514
Ted_Strickland,34012907,1.125,0.5047619047619046
wisgop,15182074,104.41666666666669,0.5142857142857142
The_RGA,21878458,1.0,0.49
ChrisAbeleMKE,294154735,2.1666666666666665,0.53
AlexSinkFlorida,36151878,1.4166666666666667,0.20000000000000007
RepLloydDoggett,153944899,135.08333333333334,0.231578947368421
JulianCastro,19682187,135.33333333333334,0.2421052631578947
KasimReed,15256841,135.04166666666666,0.26315789473684204
SecPriceMD,829782369670410240,1.0,0.368421052631579
KendrickMeek,24232525,0.0416666666666666,0.43157894736842106
clairecmc,16160352,135.375,0.4421052631578948
CrossroadsGPS,177706730,1.0,0.5263157894736843
PaulBrounMD,18811140,1.0,0.6000000000000001
AFPhq,44209472,55.16666666666666,0.6842105263157895
amyklobuchar,33537967,135.375,0.24444444444444435
paulkrugman,17006157,135.41666666666666,0.24444444444444446
davidaxelrod,244655353,135.375,0.3222222222222223
SenGillibrand,72198806,66.45833333333333,0.34444444444444444
MartinOMalley,15824288,6.5,0.4111111111111112
JonHuntsman,294728278,10.291666666666666,0.4222222222222223
LincolnChafee,89781370,0.0416666666666666,0.43333333333333335
MMFlint,20479813,38.583333333333336,0.4444444444444444
JimRenacci,2337241560,93.45833333333331,0.5
GinaRaimondo,113795716,0.4583333333333333,0.2823529411764706
RoyCooperNC,1712960918,40.5,0.3411764705882352
GovRichardson,31428685,2.958333333333333,0.3529411764705882
George_LeMieux,19269183,0.1666666666666666,0.3764705882352941
kaybaileyhutch,133439172,31.625,0.3882352941176469
GovGaryJohnson,95713333,3.0416666666666665,0.388235294117647
RepGrothman,2976606250,67.79166666666667,0.4
TimPawlenty,23134068,1.5,0.4117647058823528
KarlRove,18791763,5.666666666666667,0.44705882352941173
RonDeSantisFL,487297085,43.125,0.45882352941176463
USChamber,85606078,135.41666666666666,0.5411764705882354
TomCottonAR,343041182,135.25,0.5647058823529412
ChrisJLarson,93440753,104.875,0.611764705882353
JerryBrownGov,19418459,6.708333333333333,0.1499999999999999
BobbyScott,161791703,76.125,0.2875
fredthompson,2704951,1.0,0.35
BarbaraBuono,993956222,41.875,0.375
LamarSmithTX21,15856366,1.0,0.4125
adamputnam,48809111,2.0416666666666665,0.4375
prioritiesUSA,289963138,43.41666666666666,0.4625
MajorityPAC,322691272,26.25,0.55
